Student,Question,Score,Answer
Student 1,1,9,"Netikecija je skup smernica za lepo ponašanje na internetu. Flejmovanje je loše ponašanje na internetu, napadanje i vređanje drugih."
Student 1,2,10,"LaTeX dokument se sastoji iz preambule i glavnog dela dokumenta. U preambuli se navode osnovne postavke, a u telu sadržaj dokumenta."
Student 1,3,9,"TeX je niskonivojski jezik za obradu teksta, a LaTeX je nadogradnja koja pruža fleksibilnije i jednostavnije formatiranje."
Student 1,4,10,"$$\int_{\alpha}^{\beta} x \, dx$$"
Student 1,5,10,$$\prod_{i=1}^{j} \prod_{j=i+1}^{2003} (i^j - j^i)$$
Student 2,1,10,"Netikecija je skup neformalnih pravila lepog ponašanja na internetu. Flejmovanje je ponašanje suprotno tim pravilima — vređanje, napadanje i omalovažavanje ljudi."
Student 2,2,10,"LaTeX dokument se sastoji od preambule i teksta dokumenta. Preambula određuje izgled i osnovne postavke, a telo sadrži sadržaj dokumenta."
Student 2,3,10,"TeX je osnovna biblioteka za obradu teksta, a LaTeX je prošireni sistem koji olakšava uređivanje i pisanje dokumenata."
Student 2,4,10,"$$\int_{\alpha}^{\beta} x \, dx$$"
Student 2,5,10,$$\prod_{i=1}^{j} \prod_{j=i+1}^{2003} (i^j - j^i)$$
Student 3,1,10,Netikecija predstavlja lepo i primereno ponašanje na internetu. Flejmovanje predstavlja vređanje i neprijatno ponašanje na internetu.
Student 3,2,5,"LaTeX dokument se sastoji od preambule, uvoda i centralnog dela koji predstavlja telo dokumenta."
Student 3,3,9,"TeX je osnovna biblioteka, a LaTeX je sistem zasnovan na TeX-u koji olakšava pisanje dokumenata."
Student 3,4,10,"$$\int_{\alpha}^{\beta} x \, dx$$"
Student 3,5,10,$$\prod_{i=1}^{j} \prod_{j=i+1}^{2003} (i^j - j^i)$$
Student 4,1,10,Netikecija predstavlja pravila lepog ponašanja na internetu. Flejmovanje je loše ponašanje i vređanje na internetu.
Student 4,2,10,LaTeX dokument se sastoji iz preambule i glavnog dela dokumenta.
Student 4,3,9,"TeX je programski jezik za obradu teksta, a LaTeX je proširena biblioteka koja olakšava korišćenje TeX-a."
Student 4,4,0,-
Student 4,5,0,-
