Question,Text,Answer,Textbook
1,Opisati 4 dosega nivoa koji se mogu javiti u programu.,"Doseg nivoa datoteke, niva funkcije, nivoa bloka i nivoa prototipa funkcije.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
2,"Pomoću bitovskih operatora, napisati izraz kojim se u promenljivoj char x bitovi na neparnim pozicijama anuliraju,
dok se bitovi na parnim pozicijama invertuju.",x = (x & 0x55) ^ 0x55;,https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
3,"Vremenska složenost narednog koda je O( ), a prostorna je O( )?
for(i = 0; i < m; i++) {
i = i+2;
putchar(‘.’);
}",Vremenska O(m). Prostorna O(1).,https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
4,Sta je totalna rekurzija? Navesti primer funkcije koja je totalno rekurzivna i nacrtati stek okvir za malu vrednost,"Totalna rekurzija je oblik definisanja funkcija u kome je, za broj n, dozvoljeno izvršiti rekurzivne pozive nad bilo kojim brojem manjim od n, a ne samo nad n–1, kao u primitivnoj rekurziji.
Najpoznatiji primer je Fibonacijeva funkcija, jer za N može pozvati više rekurzija i to nad n–1 i n–2 (dakle više od jednog “manjeg broja”):

Definicija:

F(0) = 0
F(1) = 1

Za n >= 2 vazi:

F(n) = F(n-1) + F(n-2)

+----------------+
| F(3)           |
+----------------+
| F(2)           |
+----------------+
| F(1)           |
+----------------+
| F(0)           |
+----------------+",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
5,"Koja je vremenska i prostorna složenost sledeće funkcije? Objasniti odgovor.
int f(int n) {
int x,y;
if (n == 0) return 1;
x = n%3;
y = (n/10)%5;
return x * f(n-1) + y * f(n-1);
}",Vremenska O(2^n). Prostorna O(n).,https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
6,"Ukoliko se binarnom pretragom pretražuje broj 18 u nizu [3,8, 10, 13, 18, 19, 21, 30], koji brojevi se proveravaju pri
toj pretrazi?","Proveravaju se: 13, 19, 18.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
7,Navesti bar četiri greške koje mogu nastati u radu sa dinamički alociranom memorijom.,"Greske koje se javljaju su: curenje memorije, oslobadjanje pogresnog pokazivaca, oslobadjanje vec oslobodjene memorije (tj oslobadjanje oslobodjene memorije vise puta), prekoracenja i potkoracenja bafera.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
8,"U generičkoj funkciji qsort, na koji način i na kojim mestima se koristi tip void?",Koristi se za genericke pokazivace na elemente i za funkciju poredjenja const void*.,https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
9,Koja je razlika izmedu steka i reda? Navesti implementaciju steka preko listi.,"Stek=LIFO, red=FIFO. Implementacija steka: dodavanje i uklanjanje na pocetak liste.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
10,"Implementirati funkciju dodavanja čvora u binarno uredeno stablo i prikazati najbitnije korake na stablu koje nastaje
kada se stablo formira tom funkcijom od narednih brojeva: 5, 1, 3, 15, 12, 29, prilikom dodavanja broja 25. ","      5
     / \
    1   15
     \  / \
      3 12 29
25 ide desno od 5, desno od 15, levo od 29.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
11,Opisati nacine obilaska stabla.,"Prefiksno KLD, infiksno LKD, postfiksno LDK, po nivoima.",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
12,"Nivoi drveta su definisani na sledeći način: koren je na nultom nivou, deca od korena su na prvom nivou, njihova deca
na drugom nivou i tako redom. Napisati funkciju koja izračunava koliko se čvorova nalazi na n-tom nivou.","int countLevel(Node* root, int level) {
    if (root == NULL)
        return 0;

    if (level == 0)
        return 1;      // ako smo stigli do zeljenog nivoa

    return countLevel(root->left, level - 1)
         + countLevel(root->right, level - 1);
}",https://poincare.matf.bg.ac.rs/~predrag.janicic/books/p2-a4.pdf
