dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
tnp_sept,deepseek-chat,default,correct_answer,0.556791,9.750000,8.925000,0.915385,2.118372,0.536190,3.950784
tnp_sept,deepseek-reasoner,default,correct_answer,0.871630,9.750000,9.350000,0.958974,0.790569,0.536190,1.474420
tnp_sept,gpt-4o-mini,default,correct_answer,0.625543,9.750000,9.000000,0.923077,1.024695,0.536190,1.911066
tnp_sept,gpt-5,default,correct_answer,0.862243,9.750000,9.790000,1.004103,0.277489,0.536190,0.517519
tnp_sept,deepseek-chat,hard,correct_answer,0.586190,9.750000,8.600000,0.882051,1.466288,0.536190,2.734641
tnp_sept,deepseek-reasoner,hard,correct_answer,0.692523,9.750000,9.300000,0.953846,0.974679,0.536190,1.817787
tnp_sept,gpt-4o-mini,hard,correct_answer,0.730709,9.750000,9.125000,0.935897,0.928709,0.536190,1.732051
tnp_sept,gpt-4o,hard,correct_answer,0.761387,9.750000,9.400000,0.964103,0.851469,0.536190,1.587998
tnp_sept,gpt-5,hard,correct_answer,0.932505,9.750000,9.600000,0.984615,0.387298,0.536190,0.722315
tnp_sept,deepseek-chat,soft,correct_answer,0.559915,9.750000,8.975000,0.920513,2.124265,0.536190,3.961774
tnp_sept,deepseek-reasoner,soft,correct_answer,0.921155,9.750000,9.700000,0.994872,0.223607,0.536190,0.417029
tnp_sept,gpt-4o-mini,soft,correct_answer,0.501466,9.750000,9.275000,0.951282,0.858778,0.536190,1.601630
tnp_sept,gpt-4o,soft,correct_answer,0.545668,9.750000,9.650000,0.989744,0.632456,0.536190,1.179536
tnp_sept,gpt-5,soft,correct_answer,0.895645,9.750000,9.825000,1.007692,0.250000,0.536190,0.466252
p2_sept2,deepseek-chat,default,correct_answer,0.751832,5.731771,4.460938,0.778283,3.173786,4.315932,0.735365
p2_sept2,deepseek-reasoner,default,correct_answer,0.595000,5.731771,3.787500,0.660791,4.135800,4.315932,0.958263
p2_sept2,gpt-4o-mini,default,correct_answer,0.758028,5.731771,5.264583,0.918492,2.875987,4.315932,0.666365
p2_sept2,gpt-4o,default,correct_answer,0.808882,5.731771,5.579167,0.973376,2.548110,4.315932,0.590396
p2_sept2,gpt-5,default,correct_answer,0.843783,5.731771,4.917708,0.857974,2.471747,4.315932,0.572703
p2_sept2,deepseek-chat,hard,correct_answer,0.767597,5.731771,4.515625,0.787824,3.037311,4.315932,0.703744
p2_sept2,deepseek-reasoner,hard,correct_answer,0.768000,5.731771,5.303646,0.925307,2.820350,4.315932,0.653474
p2_sept2,gpt-4o-mini,hard,correct_answer,0.720771,5.731771,5.348958,0.933212,3.044590,4.315932,0.705431
p2_sept2,gpt-4o,hard,correct_answer,0.760779,5.731771,4.010417,0.699682,3.376736,4.315932,0.782388
p2_sept2,gpt-5,hard,correct_answer,0.767037,5.731771,5.697917,0.994094,2.774747,4.315932,0.642908
p2_sept2,deepseek-chat,soft,correct_answer,0.759140,5.731771,4.117188,0.718310,3.334245,4.315932,0.772543
p2_sept2,deepseek-reasoner,soft,correct_answer,0.842124,5.731771,4.786458,0.835075,2.513764,4.315932,0.582438
p2_sept2,gpt-4o-mini,soft,correct_answer,0.764587,5.731771,5.492188,0.958201,2.801134,4.315932,0.649022
p2_sept2,gpt-4o,soft,correct_answer,0.776840,5.731771,4.867188,0.849159,2.959360,4.315932,0.685683
p2_sept2,gpt-5,soft,correct_answer,0.858614,5.731771,5.150000,0.898501,2.294479,4.315932,0.531630
vp_sept,deepseek-chat,default,correct_answer,0.791133,9.133333,8.150000,0.892336,1.795828,1.944794,0.923403
vp_sept,deepseek-reasoner,default,correct_answer,0.822751,9.133333,7.800000,0.854015,1.945079,1.944794,1.000147
vp_sept,gpt-4o-mini,default,correct_answer,0.805828,9.133333,7.750000,0.848540,1.809696,1.944794,0.930534
vp_sept,gpt-4o,default,correct_answer,0.875708,9.133333,8.600000,0.941606,1.080123,1.944794,0.555392
vp_sept,gpt-5,default,correct_answer,0.844731,9.133333,8.256667,0.904015,1.655999,1.944794,0.851504
vp_sept,deepseek-chat,hard,correct_answer,0.885551,9.133333,7.933333,0.868613,1.505545,1.944794,0.774141
vp_sept,deepseek-reasoner,hard,correct_answer,0.669673,9.133333,7.600000,0.832117,2.422120,1.944794,1.245438
vp_sept,gpt-4o-mini,hard,correct_answer,0.790522,9.133333,7.566667,0.828467,1.970618,1.944794,1.013278
vp_sept,gpt-4o,hard,correct_answer,0.752212,9.133333,7.610000,0.833212,2.377604,1.944794,1.222548
vp_sept,gpt-5,hard,correct_answer,0.427176,9.133333,7.800000,0.854015,2.828427,1.944794,1.454358
vp_sept,deepseek-chat,soft,correct_answer,0.784096,9.133333,8.116667,0.888686,1.886355,1.944794,0.969951
vp_sept,deepseek-reasoner,soft,correct_answer,0.825821,9.133333,7.933333,0.868613,1.848423,1.944794,0.950447
vp_sept,gpt-4o-mini,soft,correct_answer,0.857663,9.133333,8.050000,0.881387,1.491643,1.944794,0.766993
vp_sept,gpt-4o,soft,correct_answer,0.833415,9.133333,8.116667,0.888686,1.710263,1.944794,0.879406
vp_sept,gpt-5,soft,correct_answer,0.894088,9.133333,8.433333,0.923358,1.297176,1.944794,0.667000
vp_jun,deepseek-chat,default,correct_answer,0.760987,8.937500,7.812500,0.874126,1.936492,1.599560,1.210640
vp_jun,deepseek-reasoner,default,correct_answer,0.485393,8.937500,7.593750,0.849650,2.183031,1.599560,1.364769
vp_jun,gpt-4o-mini,default,correct_answer,0.745974,8.937500,7.562500,0.846154,1.845603,1.599560,1.153819
vp_jun,gpt-4o,default,correct_answer,0.618001,8.937500,8.437500,0.944056,1.369306,1.599560,0.856052
vp_jun,gpt-5,default,correct_answer,0.483470,8.937500,8.162500,0.913287,2.002498,1.599560,1.251905
vp_jun,deepseek-chat,hard,correct_answer,0.794604,8.937500,7.750000,0.867133,1.561249,1.599560,0.976049
vp_jun,deepseek-reasoner,hard,correct_answer,0.280220,8.937500,7.625000,0.853147,2.487469,1.599560,1.555095
vp_jun,gpt-4o-mini,hard,correct_answer,0.520748,8.937500,7.531250,0.842657,1.972467,1.599560,1.233130
vp_jun,gpt-4o,hard,correct_answer,0.608568,8.937500,6.375000,0.713287,3.852759,1.599560,2.408636
vp_jun,gpt-5,hard,correct_answer,0.429806,8.937500,8.000000,0.895105,2.165064,1.599560,1.353537
vp_jun,deepseek-reasoner,soft,correct_answer,0.665147,8.937500,7.718750,0.863636,1.980372,1.599560,1.238073
vp_jun,gpt-4o-mini,soft,correct_answer,0.716891,8.937500,7.937500,0.888112,1.551209,1.599560,0.969772
vp_jun,gpt-4o,soft,correct_answer,0.431731,8.937500,8.093750,0.905594,2.095382,1.599560,1.309973
vp_jun,gpt-5,soft,correct_answer,0.527143,8.937500,8.293750,0.927972,1.786932,1.599560,1.117139
tnp_jan,deepseek-chat,default,correct_answer,0.950308,8.550000,7.725000,0.903509,1.259960,3.057368,0.412106
tnp_jan,deepseek-reasoner,default,correct_answer,0.896413,8.550000,7.300000,0.853801,1.877498,3.057368,0.614090
tnp_jan,gpt-4o-mini,default,correct_answer,0.870207,8.550000,7.550000,0.883041,1.809696,3.057368,0.591913
tnp_jan,gpt-4o,default,correct_answer,0.946899,8.550000,7.925000,0.926901,1.167262,3.057368,0.381786
tnp_jan,gpt-5,default,correct_answer,0.913130,8.550000,7.875000,0.921053,1.465094,3.057368,0.479201
tnp_jan,deepseek-chat,hard,correct_answer,0.950013,8.550000,7.700000,0.900585,1.284523,3.057368,0.420140
tnp_jan,deepseek-reasoner,hard,correct_answer,0.789323,8.550000,6.675000,0.780702,2.777139,3.057368,0.908343
tnp_jan,gpt-4o-mini,hard,correct_answer,0.880379,8.550000,7.500000,0.877193,1.795828,3.057368,0.587377
tnp_jan,gpt-4o,hard,correct_answer,0.952353,8.550000,7.525000,0.880117,1.391941,3.057368,0.455274
tnp_jan,gpt-5,hard,correct_answer,0.704967,8.550000,6.500000,0.760234,3.232646,3.057368,1.057330
tnp_jan,deepseek-reasoner,soft,correct_answer,0.900458,8.550000,7.425000,0.868421,1.757128,3.057368,0.574719
tnp_jan,gpt-4o-mini,soft,correct_answer,0.946393,8.550000,7.750000,0.906433,1.274755,3.057368,0.416945
tnp_jan,gpt-4o,soft,correct_answer,0.942167,8.550000,8.050000,0.941520,1.140175,3.057368,0.372927
tnp_jan,gpt-5,soft,correct_answer,0.923278,8.550000,7.975000,0.932749,1.340336,3.057368,0.438395
uu,deepseek-chat,default,correct_answer,0.956276,7.200000,5.900000,0.819444,1.673320,3.600000,0.464811
uu,deepseek-reasoner,default,correct_answer,0.935429,7.200000,5.650000,0.784722,2.006240,3.600000,0.557289
uu,gpt-4o-mini,default,correct_answer,0.974110,7.200000,5.700000,0.791667,1.802776,3.600000,0.500771
uu,gpt-4o,default,correct_answer,0.966628,7.200000,6.900000,0.958333,1.048809,3.600000,0.291336
uu,gpt-5,default,correct_answer,0.937181,7.200000,5.770000,0.801389,1.920677,3.600000,0.533521
uu,deepseek-chat,hard,correct_answer,0.975088,7.200000,5.750000,0.798611,1.680774,3.600000,0.466882
uu,deepseek-reasoner,hard,correct_answer,0.853188,7.200000,5.000000,0.694444,2.898275,3.600000,0.805076
uu,gpt-4o-mini,hard,correct_answer,0.961500,7.200000,6.050000,0.840278,1.724819,3.600000,0.479116
