Student,Question,Answer,Score
1,1,((x>>i)^1)==((x>>j)^1),10
1,2,"b, c, d su tacni",10
1,3,I vremenska i prostorna slozenost su logn,10
1,4,"prisutup ntom elementu je efikasniji za niz nego za povezanu listu
jednako je efikasno pristupiti ntom elementu niza i dinamickog niza jer se oba nalaze koriscenjem indeksa niza, a u listi moramo proci n cvorova liste da bi dosli do trazenog",10
1,5,O(n),10
1,6,7 tackica,10
1,7,,0
1,8,"svako pozivanje funkcije zahteva novi prostor na steku, pa je memorisjki zahtevna
isti potproblemi resavace se po vise puta, pa je vremenski zahtevna",10
1,9,"void g(int x){
	while(!g(x)){
	   	b(x);
	   	x=p(x);
	}
	a(x);
}",8
1,10,"bez umanjena opstosti recimo da hocemo da ga sortiramo u rastuci niz
selection sort radi po principu prolaska kroz ""ostatak"" niza i bira najmanji element
zatim ga razmenjuje sa prvim nizom ""ostatka"" sto ga cini poslednjim nizom sortiranog dela. Dakle najgori slucaj bio bi kada ulazni niz bio sortiran po suprotnom poretku tj opadajuci.",10
1,11,"Fragmentacija memorije se desava prilikom dinamicke alokacije. Posto se alocirana memorija dodeljuje nasumicno moze se desiti da iako postoji dovoljno memorije da se smesti novi blok, taj prostor nije uzastopan. Tada se ta memorija ne moze dinamicki alocirati na takav zahtev izvrsnog programa. 
recimo da je cifrom 0 oznacavamo da je neki bajt memorije slobodan, a 1 da nije
ako imamo slucaj 0101010101010101 i treba nam 3bajta memorije ne mozemo je dobiti iako imamo 8 slobodnih bajtova jer su rastrkani
ako imamo slucaj 0000000011111111 tada je moguce alocirati i do 8 bajtova jer su uzastopni",10
1,12,"najmanja dubina bice za 8, 4, 12, 2, 6, 10, 14, 1, 3, 5, 7, 9, 11, 13, 15
najveca dubina bice za 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15



               8 
         4           12
      2    6     10      14
     1 3  5 7   9 11   13  15",10
2,1,"j i
101
int x;
int i;
int j;
scanf(""%d%d%d"",&x,&i,&j)
void tacan(int x, int i, int j){
	if(i == j){
		return x;
	}

}

   i                j
0001 0000 0000 0000 1000 0000 0000 0000
|
        
0000 0001 0000 0000 0000 0000 0000 0000",0
2,2,b) i c),10
2,3,"vremenka slozenost je konstantna
	prostorna slozenost je linearna O(logn);",3
2,4,"pristup n-tom elementu je efikasniji za niz, zato sto imamo odma pristup preko pokazivaca dok kod povezane liste moramo proci kroz celu listu.
	pristup n-tom elemntu je jednako efikasan i za niz i za dinamicki niz",10
2,5,O(1);,0
2,6,,0
2,7,"char* cmp(char *a, char *b){
	int n1 = strlen(a);
	int n2 = strlen(b);
	if(strcmp(a[n1],b[n2]) <= 0)
		return a;
	else
		return b;
	

qsort(char *a,int n, cmp);{


}",2
2,8,Mane kod rekurzije su sto je nekad slozenije napisati funkciju rekurzivno nego iterativno,0
2,9,,0
2,10,"void f(int x){​
	if (g(x))​
	a(x);​
	else {​
	b(x);​
	if(g(p(x)))
	a(p(x));​
	}​else
	b(p(x));
}",0
2,11,,0
2,12,,0
3,1,,0
3,2,"c, d",5
3,3,"vremenska O(3^n), prostorna O(n)",0
3,4,"Pristup n-tom elementu je efikasniji za povezanu listu ukoliko znamo adresu glave liste, jer je u tom slucaju manja slozenost funkcije.  
Ukoliko poredimo staticki i dinamicki niz, efikasnije je pristupiti elementu koriscenjem statickog niza jer je slozenost u tom slucaju O(n).",0
3,5,O(logn),10
3,6,Poziv f(3) ispisuje 7 tackica,10
3,7,"int poredi_niske(const void *a, const void *b){
    char *niz1 = (char *)a;
    char *niz2 = (char *)b;
    
    int duzina1 = strlen(niz1);
    int duzina2 = strlen(niz2);
    
    if(niz1[duzina1 - 1] > niz2[duzina2 - 1])
         return 1;
         
    return 0;     
}",6
